Session_Id,Condition,Participant_Id,Connectedness,Comm_Effectiveness,Info_Exchange,Social_Cohesion,Satisfaction,Trust,Subj_Connection,Viability,Psych_Safety
1,0,CAT1DS,3.5,4.5,7.0,3.0,5.0,3.5,4.0,3.75,3.7142857142857144
1,0,DOG1DS,4.75,3.4,5.666666666666667,3.0,4.0,2.75,3.5,4.0,3.5714285714285716
2,1,DOG2DS,4.25,4.2,7.0,5.0,5.0,3.25,4.0,4.75,4.0
2,1,CAT2DS,6.0,3.6,7.0,5.0,5.0,3.75,4.0,4.75,4.142857142857143
3,0,DOG3DS,3.0,5.0,7.0,3.5,5.0,5.0,5.0,4.0,4.857142857142857
3,0,CAT3DS,4.25,4.5,7.0,2.5,5.0,4.75,4.0,4.75,4.714285714285714
4,1,CAT4DS,3.5,3.6,5.333333333333333,2.0,4.0,3.5,3.5,3.0,3.2857142857142856
4,1,DOG4DS,1.5,3.6,5.666666666666667,3.0,4.0,3.0,3.0,3.5,3.142857142857143
5,0,DOG5DS,4.5,4.0,4.666666666666667,3.5,4.0,4.0,3.5,4.0,3.7142857142857144
5,0,CAT5DS,3.0,3.7,7.0,1.5,4.666666666666667,3.75,3.0,4.25,4.142857142857143
6,0,DOG6DS,3.25,3.4,5.333333333333333,1.5,4.333333333333333,2.75,3.5,3.5,3.2857142857142856
6,0,CAT6DS,3.0,4.0,6.666666666666667,2.0,4.666666666666667,2.75,4.5,4.5,4.285714285714286
7,0,DOG7DS,5.0,4.6,7.0,5.0,5.0,4.5,4.5,5.0,3.857142857142857
7,0,CAT7DS,5.75,4.7,7.0,3.0,5.0,5.0,3.0,4.75,4.285714285714286
8,1,DOG8DS,2.5,4.4,7.0,4.5,5.0,4.25,4.0,4.75,4.571428571428571
8,1,CAT8DS,1.75,4.4,6.666666666666667,2.5,5.0,3.75,4.0,4.25,4.0
9,1,CAT9DS,2.5,3.5,5.0,1.5,4.0,3.0,3.5,3.5,3.7142857142857144
10,0,DOG10Ds,3.0,3.6,6.666666666666667,3.0,4.0,3.25,4.0,3.5,3.5714285714285716
10,0,CAT10DS,3.25,3.7,6.333333333333333,2.5,4.0,3.75,3.5,3.25,4.0
11,0,DOG11DS,3.75,4.6,7.0,4.0,5.0,3.25,4.0,4.75,4.0
11,0,CAT11DS,5.75,4.5,7.0,5.0,5.0,4.5,4.5,4.75,4.428571428571429
12,0,CAT12DS,4.0,4.0,6.0,3.5,4.0,3.5,3.5,3.75,3.4285714285714284
12,0,DOG12DS,2.75,3.0,5.666666666666667,2.5,4.0,3.5,3.0,3.5,3.7142857142857144
13,1,CAT13DS,3.25,3.1,6.0,3.0,5.0,3.75,2.5,3.75,4.142857142857143
14,1,DOG14DS,1.5,3.4,6.0,3.0,5.0,3.5,4.0,3.75,3.857142857142857
14,1,CAT14DS,4.0,4.5,7.0,3.0,4.0,4.0,3.5,4.0,3.7142857142857144
15,1,DOG15DS,5.25,5.0,7.0,3.0,5.0,5.0,4.0,4.75,3.4285714285714284
15,1,cat15ds,4.5,4.7,7.0,4.5,5.0,4.5,4.0,4.5,3.7142857142857144
16,1,CAT16DS,5.25,5.0,6.0,4.0,5.0,3.5,4.0,4.0,4.142857142857143
16,1,DOG16DS,4.5,3.8,6.0,3.0,5.0,3.75,4.0,3.75,3.857142857142857
17,1,CAT17DS,7.0,5.0,7.0,3.0,5.0,5.0,5.0,4.0,5.0
17,1,DoG17_DS,7.0,5.0,7.0,4.5,5.0,5.0,5.0,4.75,4.857142857142857
18,1,DOG18DS,2.25,4.2,7.0,3.0,5.0,3.25,3.0,4.75,4.857142857142857
18,1,CAT18DS,1.75,4.2,6.333333333333333,2.0,4.0,3.0,3.0,3.5,3.857142857142857
19,0,DOG19DS,3.5,4.0,6.0,2.0,4.0,3.75,3.0,4.0,4.0
20,0,CAT20DS,6.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,4.857142857142857
20,0,DOG20DS,1.75,4.1,7.0,4.0,4.0,3.5,3.0,2.0,4.285714285714286
21,1,DOG21DS,3.75,3.9,7.0,3.5,4.0,3.25,3.0,3.75,3.7142857142857144
21,1,CAT21DS,1.5,3.8,5.333333333333333,3.0,4.0,3.25,3.0,3.0,3.142857142857143
