Session_Id,Condition,Participant_Id,Environment_Work,Environment,Usability_VR,Manipulation_Check
1,0,CAT1DS,6.0,3.7142857142857144,3.0,5.0
1,0,DOG1DS,5.75,3.2857142857142856,4.3,5.0
2,1,DOG2DS,6.25,3.857142857142857,3.6,4.0
2,1,CAT2DS,6.0,3.4285714285714284,3.4,5.0
3,0,DOG3DS,6.75,4.714285714285714,4.4,5.0
3,0,CAT3DS,7.0,4.571428571428571,4.3,5.0
4,1,CAT4DS,3.5,3.142857142857143,2.2,3.0
4,1,DOG4DS,5.0,3.2857142857142856,2.5,4.0
5,0,DOG5DS,3.25,3.0,3.1,4.0
5,0,CAT5DS,5.5,3.857142857142857,3.0,5.0
6,0,DOG6DS,5.25,3.7142857142857144,3.3,4.0
6,0,CAT6DS,6.75,4.142857142857143,3.0,5.0
7,0,DOG7DS,6.0,3.7142857142857144,4.0,5.0
7,0,CAT7DS,6.0,3.5714285714285716,4.5,5.0
8,1,DOG8DS,6.25,3.5714285714285716,3.7,5.0
8,1,CAT8DS,6.75,4.142857142857143,3.9,5.0
9,1,CAT9DS,4.25,3.7142857142857144,2.7,3.0
10,0,DOG10Ds,5.75,4.142857142857143,3.1,5.0
10,0,CAT10DS,5.75,4.0,3.7,4.0
11,0,DOG11DS,6.25,4.0,3.0,4.0
11,0,CAT11DS,6.75,4.142857142857143,4.8,5.0
12,0,CAT12DS,6.0,3.857142857142857,3.9,5.0
12,0,DOG12DS,4.75,3.2857142857142856,4.3,4.0
13,1,CAT13DS,4.75,3.5714285714285716,3.1,5.0
14,1,DOG14DS,4.0,3.4285714285714284,3.5,4.0
14,1,CAT14DS,5.25,4.0,4.2,5.0
15,1,DOG15DS,2.5,2.0,3.7,5.0
15,1,cat15ds,5.0,3.857142857142857,3.8,5.0
16,1,CAT16DS,6.25,3.0,3.4,5.0
16,1,DOG16DS,4.25,2.857142857142857,2.8,5.0
17,1,CAT17DS,7.0,4.428571428571429,3.1,5.0
17,1,DoG17_DS,6.0,3.7142857142857144,3.0,5.0
18,1,DOG18DS,6.5,5.0,4.3,5.0
18,1,CAT18DS,3.75,2.7142857142857144,1.6,4.0
19,0,DOG19DS,5.0,4.0,4.0,4.0
20,0,CAT20DS,7.0,4.428571428571429,4.2,5.0
20,0,DOG20DS,6.0,3.7142857142857144,3.3,4.0
21,1,DOG21DS,6.0,3.857142857142857,3.6,4.0
21,1,CAT21DS,4.0,3.2857142857142856,3.3,4.0
